# y, nut, U, k, epsilon
8.032075314806449429e-01,3.629619387792570352e-03,4.829738856421499360e-01,9.531512808499287281e-03,2.252709004468216904e-03
8.175848131515836004e-01,3.453271263914308321e-03,4.706208256110252508e-01,9.636082433741338660e-03,2.419985857356218503e-03
8.314696123025453467e-01,3.272870406483434358e-03,4.579002344597176699e-01,9.725874147155397914e-03,2.601183504395078189e-03
8.448535652497071169e-01,3.089010176329922992e-03,4.447932853397145170e-01,9.799240950094901051e-03,2.797744453561322193e-03
8.577286100002721181e-01,2.902309288956949132e-03,4.312785318019021208e-01,9.854268533747512562e-03,3.011255479704396006e-03
8.700869911087114605e-01,2.713407610136660524e-03,4.173314921098988384e-01,9.888712767894183159e-03,3.243448417279617014e-03
8.819212643483549385e-01,2.522961875978740713e-03,4.029241212357586033e-01,9.899921222675649515e-03,3.496192195113803115e-03
8.932243011955152134e-01,2.331641388681656921e-03,3.880241319964025659e-01,9.884733926718503733e-03,3.771470550689569323e-03
9.039892931234434492e-01,2.140123813698785286e-03,3.725941102424077944e-01,9.839357006839665951e-03,4.071336953475161724e-03
9.142097557035306910e-01,1.949091337579243874e-03,3.565903443699960929e-01,9.759200787111373468e-03,4.397833921385171582e-03
9.238795325112867385e-01,1.759227690146317842e-03,3.399612524871952757e-01,9.638671246389054689e-03,4.752857491085555122e-03
